,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,songs_id,artist
46,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,audio_features,7yq4Qj7cqayVTp3FF9CWbm,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/tracks/7yq4Qj7cqayVTp3FF9CWbm,https://api.spotify.com/v1/audio-analysis/7yq4Qj7cqayVTp3FF9CWbm,204280,4,Riptide,7yq4Qj7cqayVTp3FF9CWbm,Vance Joy
47,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,audio_features,3CRDbSIZ4r5MsZ0YwxuEkn,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,202333,4,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots
48,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,6g1NlCpW7fgqDnWbCCDrHl,spotify:track:6g1NlCpW7fgqDnWbCCDrHl,https://api.spotify.com/v1/tracks/6g1NlCpW7fgqDnWbCCDrHl,https://api.spotify.com/v1/audio-analysis/6g1NlCpW7fgqDnWbCCDrHl,247427,4,Wake Me Up - Radio Edit,6g1NlCpW7fgqDnWbCCDrHl,Avicii
49,0.688,0.551,7,-8.162,1,0.0396,0.181,4.49e-05,0.0949,0.528,132.052,audio_features,5shfT3ChF7hHdWYpiEayGu,spotify:track:5shfT3ChF7hHdWYpiEayGu,https://api.spotify.com/v1/tracks/5shfT3ChF7hHdWYpiEayGu,https://api.spotify.com/v1/audio-analysis/5shfT3ChF7hHdWYpiEayGu,164318,4,Colors of Suspension,5shfT3ChF7hHdWYpiEayGu,PETER LAKE
50,0.356,0.567,0,-7.011,0,0.0798,0.0861,0.0,0.137,0.109,135.553,audio_features,25khomWgBVamSdKw7hzm3l,spotify:track:25khomWgBVamSdKw7hzm3l,https://api.spotify.com/v1/tracks/25khomWgBVamSdKw7hzm3l,https://api.spotify.com/v1/audio-analysis/25khomWgBVamSdKw7hzm3l,242253,5,The Hills,25khomWgBVamSdKw7hzm3l,The Weeknd
51,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.0862,0.847,146.078,audio_features,3bidbhpOYeV4knp8AIu8Xn,spotify:track:3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/tracks/3bidbhpOYeV4knp8AIu8Xn,https://api.spotify.com/v1/audio-analysis/3bidbhpOYeV4knp8AIu8Xn,258343,4,Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis
52,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,audio_features,7GX5flRQZVHRAGd6B4TmDO,spotify:track:7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,182707,4,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert
53,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello
54,0.672,0.771,4,-7.073,0,0.267,0.224,0.0,0.118,0.674,185.959,audio_features,5HBNLnWjoaYZsEfL5vB8uE,spotify:track:5HBNLnWjoaYZsEfL5vB8uE,https://api.spotify.com/v1/tracks/5HBNLnWjoaYZsEfL5vB8uE,https://api.spotify.com/v1/audio-analysis/5HBNLnWjoaYZsEfL5vB8uE,239256,4,As Long As You're Mine,5HBNLnWjoaYZsEfL5vB8uE,Shacko & Akim
55,0.906,0.625,1,-6.779,0,0.0903,0.000243,3.23e-05,0.0975,0.423,150.018,audio_features,7ujx3NYtwO2LkmKGz59mXp,spotify:track:7ujx3NYtwO2LkmKGz59mXp,https://api.spotify.com/v1/tracks/7ujx3NYtwO2LkmKGz59mXp,https://api.spotify.com/v1/audio-analysis/7ujx3NYtwO2LkmKGz59mXp,177000,4,HUMBLE.,7ujx3NYtwO2LkmKGz59mXp,Kendrick Lamar
56,0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089,audio_features,7DFNE7NO0raLIUbgzY2rzm,spotify:track:7DFNE7NO0raLIUbgzY2rzm,https://api.spotify.com/v1/tracks/7DFNE7NO0raLIUbgzY2rzm,https://api.spotify.com/v1/audio-analysis/7DFNE7NO0raLIUbgzY2rzm,252867,4,Let Her Go,7DFNE7NO0raLIUbgzY2rzm,Passenger
